symbol,company,current_rank,previous_rank,rank_change,direction,current_market_cap,market_cap_change_pct
UNH,Unitedhealth Group Inc,27,37,10,UP,313.85B,37.90148952062921
AXP,American Express Co,40,44,4,UP,225.41B,8.90424195574452
LLY,Lilly(Eli) & Co,13,15,2,UP,707.18B,19.425821160179005
IBM,International Business Machines Corp,36,38,2,UP,241.39B,6.9611839773129995
GS,"Goldman Sachs Group, Inc",38,40,2,UP,230.86B,5.73417605569296
BX,Blackstone Inc,43,45,2,UP,212.19B,2.9099374363451185
DIS,Walt Disney Co,44,46,2,UP,211.23B,4.496883348174534
MRK,Merck & Co Inc,45,47,2,UP,211.14B,4.758124534854862
T,"AT&T, Inc",46,48,2,UP,210.90B,5.0403426636119155
JPM,JPMorgan Chase & Co,11,12,1,UP,818.05B,3.026372131684337
NFLX,Netflix Inc,16,17,1,UP,537.15B,4.329332245659007
COST,Costco Wholesale Corp,19,20,1,UP,433.74B,-0.2988230967267404
JNJ,Johnson & Johnson,20,21,1,UP,426.58B,2.1895362207742397
HD,"Home Depot, Inc",21,22,1,UP,413.04B,7.038457551570443
BAC,Bank Of America Corp,24,25,1,UP,371.98B,9.152263857507554
TMUS,T-Mobile US Inc,30,31,1,UP,273.88B,-0.6637408871640434
WFC,Wells Fargo & Co,32,33,1,UP,258.69B,3.7290990015638203
MS,Morgan Stanley,35,36,1,UP,242.79B,6.225936296814836
WMT,Walmart Inc,12,11,-1,DOWN,813.63B,-1.7129534555030683
ORCL,Oracle Corp,14,13,-1,DOWN,677.26B,-3.572293016302418
V,Visa Inc,15,14,-1,DOWN,663.70B,2.2902410455582287
MA,Mastercard Incorporated,17,16,-1,DOWN,529.74B,2.0320114023767704
ABBV,Abbvie Inc,25,24,-1,DOWN,370.64B,5.936490696544426
KO,Coca-Cola Co,28,27,-1,DOWN,292.69B,-3.3132928118393328
GE,GE Aerospace,29,28,-1,DOWN,292.59B,0.3291842403044884
PM,Philip Morris International Inc,33,32,-1,DOWN,256.04B,-3.344658361645888
CSCO,"Cisco Systems, Inc",31,29,-2,DOWN,266.33B,-6.317492701115071
CRM,Salesforce Inc,37,35,-2,DOWN,240.74B,4.701430870264864
PLTR,Palantir Technologies Inc,22,19,-3,DOWN,383.04B,-13.223533676174078
LIN,Linde Plc,42,39,-3,DOWN,222.15B,0.28439869989165556
AMD,Advanced Micro Devices Inc,34,30,-4,DOWN,252.06B,-10.094164645455846
RTX,RTX Corp,47,43,-4,DOWN,203.85B,-1.65951083023783
ABT,Abbott Laboratories,39,34,-5,DOWN,229.78B,-1.6815711779555889
