symbol,company,current_rank,previous_rank,rank_change,direction,current_market_cap,market_cap_change_pct
UNH,Unitedhealth Group Inc,37,42,5,UP,227.59B,5.517177430571656
PLTR,Palantir Technologies Inc,19,22,3,UP,441.41B,21.246497830028023
ABT,Abbott Laboratories,34,37,3,UP,233.71B,5.493364629412303
CSCO,"Cisco Systems, Inc",29,31,2,UP,284.29B,6.972456351595435
LIN,Linde Plc,39,41,2,UP,221.52B,2.4322574678627666
AXP,American Express Co,44,46,2,UP,206.98B,1.074323664420348
TSLA,Tesla Inc,9,10,1,UP,1063.27B,8.928205548498132
WMT,Walmart Inc,11,12,1,UP,827.81B,5.320678380132055
ORCL,Oracle Corp,13,14,1,UP,702.35B,2.304342126345542
V,Visa Inc,14,15,1,UP,648.84B,-0.7571238471068588
MRK,Merck & Co Inc,47,48,1,UP,201.55B,1.230537418382731
T,"AT&T, Inc",48,49,1,UP,200.78B,1.1893962302187349
PEP,PepsiCo Inc,49,50,1,UP,198.80B,4.252976034401391
BRK-B,Berkshire Hathaway Inc,10,9,-1,DOWN,1003.99B,-1.692973523421585
JPM,JPMorgan Chase & Co,12,11,-1,DOWN,794.02B,-1.2646265186087955
COST,Costco Wholesale Corp,20,19,-1,DOWN,435.04B,2.987547938071115
JNJ,Johnson & Johnson,21,20,-1,DOWN,417.44B,3.5856969155562144
HD,"Home Depot, Inc",22,21,-1,DOWN,385.88B,3.7981493436625797
AMD,Advanced Micro Devices Inc,30,29,-1,DOWN,280.36B,0.7040229885057602
TMUS,T-Mobile US Inc,31,30,-1,DOWN,275.71B,3.2815133920209747
CRM,Salesforce Inc,35,34,-1,DOWN,229.93B,-4.079929915314338
LLY,Lilly(Eli) & Co,15,13,-2,DOWN,592.15B,-18.040388102257474
GS,"Goldman Sachs Group, Inc",40,38,-2,DOWN,218.34B,0.28016350525881306
MCD,McDonald's Corp,41,39,-2,DOWN,217.97B,0.6417951796102993
INTU,Intuit Inc,42,40,-2,DOWN,208.93B,-3.4965357967667408
DIS,Walt Disney Co,46,44,-2,DOWN,202.14B,-3.5591603053435152
IBM,International Business Machines Corp,38,35,-3,DOWN,225.68B,-3.112523075602112
CAT,Caterpillar Inc,50,47,-3,DOWN,195.13B,-3.2189266937803835
